TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
Idaho,BSky,29,5,13.3,24.2,28.2,46.5,37.6,2019
Idaho St.,BSky,28,11,15,25.8,28.8,50.4,36.2,2019
Montana St.,BSky,31,15,17.2,26.3,34.9,51.1,37.6,2019
North Dakota,BSky,26,12,17.3,21,27.2,49.6,36,2019
Northern Arizona,BSky,31,10,16.6,25.8,33.8,49.2,34.6,2019
Northern Colorado,BSky,30,21,18.6,27.7,34.8,53.6,34.9,2019
Portland St.,BSky,29,16,18.8,38.7,37.3,48.3,29.8,2019
Sacramento St.,BSky,28,15,21.4,28.2,33.5,48.3,33.1,2019
Southern Utah,BSky,32,17,16.9,23.2,39.4,50,33.7,2019
Weber St.,BSky,31,18,15.8,19.2,37.1,53.4,35.2,2019
Campbell,BSth,29,7,19,27.5,35.9,46.5,36,2015
Charleston Southern,BSth,28,16,18.9,33.4,34.9,46.7,33.7,2015
Gardner Webb,BSth,31,16,17.1,29.8,37.7,50.4,34.6,2015
High Point,BSth,30,20,19.8,30.6,34.1,49.3,38.6,2015
Liberty,BSth,28,4,18.1,30.6,40.2,45.8,31,2015
Longwood,BSth,32,9,20.8,26.9,30,44.9,36.9,2015
Presbyterian,BSth,28,6,15.9,27.3,33.3,48.8,31.7,2015
Radford,BSth,31,19,18.8,34.5,35.4,50.5,32.6,2015
UNC Asheville,BSth,28,12,18.3,31.6,35.4,48.2,35.2,2015
Winthrop,BSth,29,16,19,29.4,35.9,49.2,35.5,2015
Campbell,BSth,27,9,18.9,22,41.4,50.7,31.7,2016
Charleston Southern,BSth,27,6,16.1,24.7,27.4,49.4,33.8,2016
Coastal Carolina,BSth,30,18,15.3,30.6,35.7,49.1,33.4,2016
Gardner Webb,BSth,30,14,18.8,31.6,34.9,46,33.5,2016
High Point,BSth,29,18,20.6,31.9,35,49.8,38.2,2016
Liberty,BSth,29,10,18.1,21,25.5,52,36.1,2016
Longwood,BSth,30,7,17.3,29.6,34.3,49.8,34.9,2016
Presbyterian,BSth,28,8,19,26,34.8,47.7,30.8,2016
Radford,BSth,29,14,17,34.4,29,49.5,34.4,2016
Winthrop,BSth,29,20,15.9,26,41.1,53.9,36.4,2016
Campbell,BSth,34,19,17.3,24.2,36.6,50.2,35.6,2017
Charleston Southern,BSth,28,12,16.8,27.4,35,48,33.3,2017
Gardner Webb,BSth,30,19,20.4,30.8,44.7,50.3,37.6,2017
High Point,BSth,28,15,19.6,28.1,36.4,44.8,37.5,2017
Liberty,BSth,32,21,22,15,34.2,50.4,36.1,2017
Longwood,BSth,28,6,17.4,21.5,29,49.6,32.5,2017
Presbyterian,BSth,28,5,16.9,29,27.7,43.2,33.6,2017
Radford,BSth,30,14,15.1,33.8,29.5,44.6,34.6,2017
UNC Asheville,BSth,31,23,22.6,24.4,34.9,51.8,39,2017
Campbell,BSth,31,18,17.3,20.8,34,52.6,38.1,2018
Charleston Southern,BSth,28,15,22.1,30.2,31.3,49,32.6,2018
Gardner Webb,BSth,29,14,17.1,25.2,28,48.1,34,2018
High Point,BSth,27,14,20.4,30.9,34.1,47.6,35.9,2018
Liberty,BSth,34,22,18.2,22.9,33.7,51.1,36.8,2018
Longwood,BSth,30,7,17.6,22.7,35.3,45.8,31.5,2018
Presbyterian,BSth,29,11,17.8,24.9,28,46.8,34.6,2018
UNC Asheville,BSth,32,21,18.5,24,31.3,52,39.4,2018
Winthrop,BSth,28,19,18.6,26.2,35.9,54.8,36.5,2018
Campbell,BSth,30,20,19.5,23.7,31.2,54.8,33.8,2019
Charleston Southern,BSth,30,18,21.1,29.1,27,48.4,34.5,2019
Hampton,BSth,32,18,16.3,28.1,34.8,47.5,34.1,2019
High Point,BSth,29,16,16.3,34.1,33.8,51,30.3,2019
Longwood,BSth,31,16,17.4,24.5,33.6,50.8,36,2019
Presbyterian,BSth,33,20,17.9,25.3,30.5,50.1,38,2019
Radford,BSth,30,22,18.1,29.7,27,50.1,38,2019
UNC Asheville,BSth,28,4,18.2,27.7,26.3,45.2,31.7,2019
USC Upstate,BSth,29,5,18.2,24.7,25.3,46.8,32.1,2019
Winthrop,BSth,27,18,15.4,28.7,30.4,53.3,36.7,2019
Cal Poly,BW,27,11,17.3,31.9,31.5,42.5,31.6,2015
Cal St. Fullerton,BW,29,7,16.6,28.5,36.7,44.9,31.8,2015
Cal St. Northridge,BW,31,7,16.6,28.4,41.1,44.3,33,2015
Hawaii,BW,33,20,23.4,32.2,36.7,49.3,32.8,2015
Long Beach St.,BW,31,14,21,31.5,34.4,46.3,33.2,2015
UC Davis,BW,30,23,17.9,28.6,39.3,51.7,44.1,2015
UC Riverside,BW,29,12,18.7,30.7,33.7,45.1,33,2015
UC Santa Barbara,BW,31,17,17.9,30.7,32,46.6,37,2015
Cal Poly,BW,28,8,15.9,30.1,35.2,44.9,35.4,2016
Cal St. Fullerton,BW,28,8,16.4,29.7,43.7,44.4,33.3,2016
Cal St. Northridge,BW,28,8,18.9,27.6,42.1,47.1,30.2,2016
Long Beach St.,BW,33,18,19.8,27.7,37.6,46.4,36.7,2016
UC Davis,BW,28,9,19.7,25,33.6,45.5,35.9,2016
UC Irvine,BW,36,26,17.4,29.1,35.1,49.3,36.7,2016
UC Riverside,BW,31,12,17.2,28.4,36.8,47,34.5,2016
UC Santa Barbara,BW,32,18,17.5,28.8,27.4,48.4,35.8,2016
Cal Poly,BW,29,11,17.7,25.6,29.4,45.1,33.5,2017
Cal St. Fullerton,BW,30,17,19.6,30.3,39.9,50.6,30.8,2017
Cal St. Northridge,BW,28,11,17.8,27.7,45,49.4,33.7,2017
Hawaii,BW,29,14,20.3,28,36.9,48.6,32.1,2017
Long Beach St.,BW,32,15,18.6,31.6,36.2,47,35.1,2017
UC Irvine,BW,34,21,15.3,31.9,29.7,48.2,35.6,2017
UC Riverside,BW,27,8,19.1,26,30,44.9,31.6,2017
UC Santa Barbara,BW,27,6,17.6,30.8,28.8,41.7,28.5,2017
Cal Poly,BW,29,9,16.3,24.7,26.7,41.5,35.8,2018
Cal St. Northridge,BW,28,6,16.4,23.3,28.3,45.9,34.7,2018
Hawaii,BW,28,17,19.9,26.3,40.8,50.9,32.5,2018
Long Beach St.,BW,31,15,18.7,32.2,40.3,48.4,35.1,2018
UC Davis,BW,31,22,21.9,24.4,38.5,50.7,36.6,2018
UC Irvine,BW,33,18,14.8,32.3,28.2,47.5,33,2018
UC Riverside,BW,29,9,19.3,26.8,32.4,44.1,31.3,2018
UC Santa Barbara,BW,30,23,16.6,28.7,32,50.5,38.3,2018
Cal Poly,BW,27,6,15.6,26.1,25.8,46.6,32,2019
Cal St. Fullerton,BW,32,16,16.8,24.5,38.5,50.3,30.8,2019
Cal St. Northridge,BW,33,13,17.1,28.4,31.8,50.3,36.1,2019
Hawaii,BW,29,18,17.4,26.9,31.2,52.2,35,2019
Long Beach St.,BW,32,15,18.9,28.9,40.8,46.3,33.8,2019
UC Davis,BW,29,11,21.1,22.1,29.7,49,32.7,2019
UC Riverside,BW,30,10,16,25.1,22.7,47.2,38,2019
UC Santa Barbara,BW,30,22,16.6,33.1,39.5,49.4,34.8,2019
College of Charleston,CAA,33,9,18.4,27.5,32.4,43.2,34.3,2015
Delaware,CAA,30,10,15.6,28.8,38.1,44.5,34.5,2015
Drexel,CAA,29,11,18.5,27.5,33.1,42.6,33,2015
Elon,CAA,31,13,21.2,27.9,37.6,45.1,34.5,2015
Hofstra,CAA,34,20,19.6,32.7,39.8,50.9,36.2,2015
James Madison,CAA,33,19,17.9,29,42.2,49.7,37.2,2015
Towson,CAA,31,11,14.9,41.1,48.3,44.4,30.1,2015
UNC Wilmington,CAA,31,17,20.4,31,37.5,46.3,34,2015
William & Mary,CAA,31,18,17.6,24.2,35.5,54.8,38.9,2015
College of Charleston,CAA,30,16,21.6,30.4,32.8,45.6,34,2016
Delaware,CAA,30,7,13.5,29.6,42.2,43.7,32.5,2016
Drexel,CAA,30,6,18.1,27.7,36.9,42.3,32.7,2016
Elon,CAA,30,14,15.8,27.2,30.4,52.5,33.9,2016
Hofstra,CAA,33,23,16.4,31.9,39.5,50.1,35.6,2016
James Madison,CAA,31,20,15.4,29.5,37,50.9,35,2016
Northeastern,CAA,32,17,17.2,25.9,38.7,48.5,37.2,2016
Towson,CAA,31,18,17.7,38.3,45.1,46.3,32.1,2016
William & Mary,CAA,29,18,15.3,25.8,36.6,54.8,36.7,2016
College of Charleston,CAA,34,25,18.6,25.4,42.7,49.1,33.2,2017
Delaware,CAA,31,13,15.2,27.1,32.2,47.8,30,2017
Drexel,CAA,31,9,17.4,30.4,31.6,48.5,34.9,2017
Elon,CAA,30,18,14.9,24.2,30.7,50.9,35.7,2017
Hofstra,CAA,31,15,15.4,31.1,37.7,49.6,36.4,2017
James Madison,CAA,32,10,17.6,29.1,36.1,50.3,33.3,2017
Northeastern,CAA,31,15,17,25.7,37.8,52.4,36.7,2017
Towson,CAA,32,20,18.7,37,45.6,49.2,30.6,2017
William & Mary,CAA,29,17,14.5,25.6,38.7,55.8,37.8,2017
Delaware,CAA,31,14,14.9,26,34.4,50.7,32.9,2018
Drexel,CAA,32,13,15.6,30.8,31.8,50.2,32.2,2018
Elon,CAA,30,14,14.2,21.7,24,52.5,34.7,2018
Hofstra,CAA,30,19,16.3,30.6,36.5,51.6,37.3,2018
James Madison,CAA,31,10,18.5,28.9,34.1,46.7,33.5,2018
Northeastern,CAA,32,23,17.9,25.3,35.1,57.6,37.3,2018
Towson,CAA,30,18,18.7,34.3,35.4,51.1,35.3,2018
UNC Wilmington,CAA,30,11,15.6,33.8,31.1,47.4,34.5,2018
William & Mary,CAA,29,19,14.4,21.2,33.4,56.6,42.2,2018
College of Charleston,CAA,32,24,19.1,25.6,33.5,56.3,33.7,2019
Delaware,CAA,31,17,14.9,24.2,31.2,50.9,37.8,2019
Drexel,CAA,31,13,14.6,29.2,30.6,50.9,34.7,2019
Elon,CAA,30,11,15.2,22.4,24.3,52.2,34.6,2019
Hofstra,CAA,34,27,18.3,26.8,37.7,54.5,38.7,2019
James Madison,CAA,31,14,16.4,30.1,33.4,47.5,36.6,2019
Towson,CAA,31,10,15.2,35.2,28.1,47.6,32.6,2019
UNC Wilmington,CAA,32,10,14.5,31.7,32.8,49.3,35,2019
William & Mary,CAA,30,14,15.6,24.5,31.3,55.8,35,2019
Charlotte,CUSA,32,14,18.4,33.7,36.9,49.8,37.6,2015
FIU,CUSA,31,14,19.2,29,37.4,48.6,31.3,2015
Florida Atlantic,CUSA,27,7,16.7,26,27.8,45.6,34.9,2015
Louisiana Tech,CUSA,35,26,22.4,29,33.7,51.4,32.9,2015
Marshall,CUSA,30,9,18.6,28.2,34.9,45.9,31.1,2015
Middle Tennessee,CUSA,35,18,20.3,31.6,36.8,44.2,36.3,2015
North Texas,CUSA,29,12,20.4,31.1,40,47.8,29.9,2015
Old Dominion,CUSA,35,27,21,36,30.6,48.4,32.5,2015
Rice,CUSA,29,10,19.6,26.5,33.7,47.6,37.3,2015
Southern Miss,CUSA,27,7,20.1,26.6,34.1,48.8,32.8,2015
UTEP,CUSA,33,22,18.7,29.1,43.8,50.9,36.6,2015
UTSA,CUSA,28,12,20.3,35.2,42.1,47.3,32.7,2015
Western Kentucky,CUSA,30,18,18.9,30.4,38.7,47.2,35.6,2015
Charlotte,CUSA,33,14,18.3,29.7,33.2,47.7,38.2,2016
FIU,CUSA,30,11,14.2,30.8,35.6,50.7,36.8,2016
Florida Atlantic,CUSA,31,7,16.6,23.1,32.3,44.2,34.1,2016
Louisiana Tech,CUSA,31,21,19,28.8,43,52,33.3,2016
Marshall,CUSA,33,17,17.1,26.6,31.2,57.2,33.7,2016
North Texas,CUSA,30,10,17.2,30.3,44.1,49.8,32.2,2016
Old Dominion,CUSA,38,25,17.2,36.6,31,48.7,30.1,2016
Rice,CUSA,30,10,18.4,26.7,41.5,53.4,31.9,2016
Southern Miss,CUSA,27,7,17.7,23.3,36.1,45.2,35.9,2016
UAB,CUSA,32,25,18,32.4,33.4,52.6,37,2016
UTEP,CUSA,32,18,19.2,24.5,40.9,51.3,36.5,2016
UTSA,CUSA,30,4,17.2,26,37.4,46.5,32.1,2016
Western Kentucky,CUSA,32,16,15,33.6,39.6,51.5,36.3,2016
Charlotte,CUSA,29,13,18.3,20.3,34,47.5,37.5,2017
FIU,CUSA,29,7,16.8,29.8,28.5,50.2,32.4,2017
Florida Atlantic,CUSA,28,10,17.7,26.9,30.4,45.5,31.4,2017
Louisiana Tech,CUSA,31,23,19.4,29.2,34.6,52,37.1,2017
Marshall,CUSA,34,20,16.8,24.4,37.1,51.8,37.4,2017
North Texas,CUSA,28,8,17.8,26.5,34.9,47.3,31.7,2017
Old Dominion,CUSA,31,19,20.1,35.5,34.1,44.5,32.4,2017
Rice,CUSA,33,23,17.4,28.6,41.5,50.9,38.9,2017
Southern Miss,CUSA,29,9,16.6,22.3,29.3,45.4,29.6,2017
UAB,CUSA,32,17,17.3,30,37.7,51.3,34.1,2017
UTEP,CUSA,31,15,17.5,22.2,36.3,51.9,34.3,2017
UTSA,CUSA,31,14,17.6,32.4,36.2,43.7,26.7,2017
Western Kentucky,CUSA,32,15,15.8,27.3,37.2,48.5,35.4,2017
Charlotte,CUSA,28,6,17.6,26.2,38.9,46.5,34.6,2018
FIU,CUSA,29,14,19.8,25.9,36.5,47.2,31.3,2018
Florida Atlantic,CUSA,28,12,16.6,28.5,29,42.3,31.9,2018
Louisiana Tech,CUSA,31,17,18.2,27.4,36.5,48.2,36.7,2018
Middle Tennessee,CUSA,32,25,19.1,30.7,30.1,51.9,37.1,2018
North Texas,CUSA,36,20,17.3,30.2,33.6,50,35.4,2018
Old Dominion,CUSA,32,25,21.6,32.3,33,49.3,35.7,2018
Rice,CUSA,29,7,16.5,27.6,35.2,48,32.1,2018
Southern Miss,CUSA,30,16,19.8,20.5,28.3,49.8,34.1,2018
UAB,CUSA,31,20,17.6,30.9,28.3,55.9,34.8,2018
UTEP,CUSA,30,11,17.4,19,30.9,49,33.1,2018
UTSA,CUSA,32,20,16.3,26.5,29.6,49.3,35.5,2018
Western Kentucky,CUSA,37,27,17.9,29,40,54.6,35.4,2018
Charlotte,CUSA,29,8,17.9,22.3,36.3,49.2,31.1,2019
FIU,CUSA,30,20,23.4,25.7,37.9,52.2,29.3,2019
Florida Atlantic,CUSA,30,17,18.1,29,28.6,47,32.6,2019
Louisiana Tech,CUSA,31,20,19.2,29.4,35.9,49.3,33.7,2019
Marshall,CUSA,37,23,20.8,22.9,30.5,52.3,34.2,2019
Middle Tennessee,CUSA,30,11,17.5,32.3,29.6,45.7,32.3,2019
North Texas,CUSA,30,21,19.8,30.7,27.7,50.5,31.7,2019
Rice,CUSA,30,13,14.9,26.6,38.5,48.1,35.3,2019
Southern Miss,CUSA,29,20,19.4,22.9,24.1,49.9,39.1,2019
UAB,CUSA,33,20,17.9,30.6,31.8,51.3,32.6,2019
UTEP,CUSA,27,8,19,26.7,34.7,44.3,32,2019
UTSA,CUSA,28,17,18.1,26.1,26.2,48,34.3,2019
Western Kentucky,CUSA,34,20,18.5,29.6,37.9,50.2,32.7,2019
Cleveland St.,Horz,32,17,21,31.9,31.1,48.9,37.9,2015
Detroit,Horz,31,13,21.2,29.4,32.4,46.3,37.9,2015
Green Bay,Horz,31,22,20.8,33.3,39.3,51.8,28.3,2015
Illinois Chicago,Horz,32,8,18,30.8,40,41.5,31.8,2015
Milwaukee,Horz,28,12,16.5,26.9,36.2,48.6,33.2,2015
Oakland,Horz,31,14,16.1,30.1,38.1,51.7,35.5,2015
Wright St.,Horz,29,9,19.8,23.2,31.5,49,34.1,2015
Youngstown St.,Horz,29,8,17.8,27.6,35.9,48.5,35.6,2015
Cleveland St.,Horz,30,7,19.9,29.4,30.9,43.4,32,2016
Detroit,Horz,29,14,17.2,32.5,40.5,50.6,36.5,2016
Illinois Chicago,Horz,28,3,15.7,31.9,43.2,40.3,30.4,2016
Milwaukee,Horz,31,18,15.6,27.1,38.3,51.9,35.9,2016
Northern Kentucky,Horz,28,7,16.1,26.5,31.2,48.6,35.3,2016
Oakland,Horz,35,23,16.5,31.2,41.8,49.3,39.8,2016
Valparaiso,Horz,35,28,18.5,35.2,35.1,48.3,36.5,2016
Wright St.,Horz,33,20,20.6,19.1,33,48.3,37.8,2016
Youngstown St.,Horz,30,9,15.7,22.7,29.8,45.5,37,2016
Cleveland St.,Horz,30,9,22.3,28.9,29.6,46.5,30.7,2017
Detroit,Horz,30,8,19.4,26.9,38.1,48.4,37,2017
Green Bay,Horz,30,18,18.6,30.4,37.7,48.7,31.6,2017
Illinois Chicago,Horz,34,17,16.6,32.5,38.4,47.6,37,2017
Milwaukee,Horz,34,11,17.5,24.5,27.4,49.8,34.9,2017
Oakland,Horz,32,25,18.9,29.3,37.7,51.9,33.3,2017
Valparaiso,Horz,32,24,17.9,30.4,36.9,50.5,33,2017
Wright St.,Horz,30,20,19.5,29.4,38,49.4,37.2,2017
Youngstown St.,Horz,32,13,16.4,26.3,25.9,49,32.8,2017
Cleveland St.,Horz,34,12,19.5,22.1,29.4,50.4,34,2018
Detroit,Horz,30,8,17.2,27,31.1,48.5,33.3,2018
Green Bay,Horz,30,13,17.8,25.6,32.3,44.7,36.2,2018
Illinois Chicago,Horz,34,20,17.2,28.8,35.3,49.8,34.9,2018
IUPUI,Horz,28,11,21.2,31.9,32.9,45.2,35.5,2018
Milwaukee,Horz,31,16,18,25.1,27.7,50.9,33.9,2018
Northern Kentucky,Horz,30,22,19.2,28,31,55.7,34,2018
Oakland,Horz,33,19,16.9,28,35.5,51.4,35.2,2018
Youngstown St.,Horz,30,8,19.4,34.7,28.4,46.5,33.2,2018
Cleveland St.,Horz,29,10,16.8,26.3,31.7,48.9,36.5,2019
Detroit,Horz,31,11,19.8,29.3,31,46.7,35.6,2019
Green Bay,Horz,36,21,18.8,26.4,33.9,51.4,34.5,2019
Illinois Chicago,Horz,30,16,17.6,24.9,27.8,54.1,34.9,2019
IUPUI,Horz,31,16,19.6,34.3,35.2,50.5,33,2019
Milwaukee,Horz,30,9,15.3,26.7,28.2,46.5,33.8,2019
Oakland,Horz,32,16,17.2,25.7,35.7,52.3,37.9,2019
Wright St.,Horz,33,21,20.1,30.8,35.1,50.4,34.6,2019
Youngstown St.,Horz,30,12,16.2,33.5,23.1,48.5,34.1,2019
NJIT,Ind,29,17,19,28.8,39,49.8,37.1,2015
Brown,Ivy,29,11,16.4,29.8,45,47.2,31.1,2015
Columbia,Ivy,27,12,16.2,32,28.2,49.7,35.9,2015
Cornell,Ivy,29,12,19.3,23.1,39.3,44.1,30.3,2015
Dartmouth,Ivy,29,14,21.2,30.9,35.7,47.9,34.6,2015
Penn,Ivy,28,9,18.1,29.5,35.8,47.7,34.6,2015
Princeton,Ivy,29,15,18.5,20.7,46.1,53,37.3,2015
Yale,Ivy,30,20,19,34.2,40.9,47.3,36.5,2015
Brown,Ivy,27,7,16,25.6,36.9,47.8,35.9,2016
Columbia,Ivy,33,23,19,28.5,37.9,50.5,38.1,2016
Cornell,Ivy,27,9,19.8,22.4,32.3,47,34.1,2016
Dartmouth,Ivy,27,9,20.9,32.8,38.2,45.9,34.3,2016
Harvard,Ivy,28,12,16.8,29.6,31.5,48.1,39.2,2016
Penn,Ivy,27,10,16.7,27.9,31.9,51.3,30.4,2016
Princeton,Ivy,28,21,18.2,28,33.9,52,38.1,2016
Brown,Ivy,28,13,21.2,27.1,44.5,49,35.6,2017
Columbia,Ivy,26,11,20.2,27.9,29.1,47.1,36.1,2017
Cornell,Ivy,28,8,15.5,22,29.5,53.6,33.3,2017
Dartmouth,Ivy,27,7,15.8,27.7,33.8,48.1,35.2,2017
Harvard,Ivy,26,18,18.4,29.6,32.3,51.2,35.9,2017
Penn,Ivy,28,13,20.1,27.6,26,52.2,33.9,2017
Yale,Ivy,28,18,17,31.2,33.9,51.8,35.5,2017
Brown,Ivy,26,11,19.3,29.4,40.4,48.6,32.1,2018
Columbia,Ivy,26,8,18.2,27,24.5,49.9,37.2,2018
Cornell,Ivy,27,12,15.7,24.4,35.1,54,33.4,2018
Dartmouth,Ivy,26,7,18.1,23.9,32.8,49.7,36,2018
Harvard,Ivy,31,18,18.4,26.5,27.6,48.5,35.4,2018
Princeton,Ivy,28,13,16.6,22,26.2,52.1,37.3,2018
Yale,Ivy,30,16,17.7,25.4,31,55.3,32.8,2018
Brown,Ivy,30,20,20.9,24.5,36.7,50.2,33.8,2019
Columbia,Ivy,26,10,18.9,24.3,22.4,50.6,35.4,2019
Cornell,Ivy,29,15,17.4,18.8,33.9,52.3,32.9,2019
Dartmouth,Ivy,28,11,16,23.9,24.8,50.6,35.8,2019
Harvard,Ivy,30,19,17.5,28.7,31.6,52.7,36.1,2019
Penn,Ivy,30,19,19,24.8,28.1,52.9,34.7,2019
Princeton,Ivy,26,16,17.2,24.3,29.8,48.1,30.3,2019
Canisius,MAAC,33,18,21.5,34,32,46.1,31.8,2015
Fairfield,MAAC,31,7,18.3,27.3,37.1,43.2,32.2,2015
Iona,MAAC,35,26,16.7,28.7,37.4,51.3,39.6,2015
Marist,MAAC,32,7,20.8,21.2,38,46.4,31.5,2015
Monmouth,MAAC,33,18,21.4,30,41,46.7,33.8,2015
Niagara,MAAC,30,8,18.1,32,41.2,42.3,35.1,2015
Quinnipiac,MAAC,30,15,14,42.1,35.5,43.1,30.7,2015
Rider,MAAC,33,21,21.6,31.1,35.6,49,33.4,2015
Saint Peter's,MAAC,34,16,20.9,31.4,44,44.6,34.3,2015
Siena,MAAC,31,11,21.2,36.3,41.9,46.6,33.2,2015
Canisius,MAAC,33,14,19.6,31,36.9,47.5,34.1,2016
Fairfield,MAAC,33,19,18.9,24.8,32.6,50,35.4,2016
Manhattan,MAAC,31,13,22.6,23.5,39.8,47.6,36.1,2016
Marist,MAAC,30,7,16.9,24.3,35.9,48.1,34.2,2016
Monmouth,MAAC,36,28,20.1,28.6,38.4,47.2,36.6,2016
Niagara,MAAC,32,7,16.9,32.8,34,46.2,28.2,2016
Quinnipiac,MAAC,30,9,17.4,38.4,28,38.3,34.1,2016
Rider,MAAC,33,13,18.2,28.6,35.4,48.9,31.5,2016
Saint Peter's,MAAC,30,14,17.7,30.4,35.1,47,32.7,2016
Siena,MAAC,34,21,17.3,39.1,40.8,50.7,36.8,2016
Canisius,MAAC,34,18,20.8,30.2,30.9,51.4,37.1,2017
Fairfield,MAAC,31,16,17.5,24.3,27.2,52,33.5,2017
Manhattan,MAAC,32,10,20,30.8,41,46.3,32.9,2017
Marist,MAAC,32,8,15.7,21.6,37.9,49.9,33.3,2017
Monmouth,MAAC,34,27,19.5,29.7,37.3,47.6,37.3,2017
Niagara,MAAC,33,10,16,30.5,33.6,44,36.6,2017
Quinnipiac,MAAC,31,10,16.8,34.1,33,47.4,32.6,2017
Rider,MAAC,33,18,18.1,33,37,48.7,33.2,2017
Saint Peter's,MAAC,36,23,20.9,25.5,33.1,47.3,38.1,2017
Siena,MAAC,34,17,17.2,35.5,40,50.2,32.7,2017
Canisius,MAAC,33,21,21.6,29.9,29.9,55.9,34.8,2018
Fairfield,MAAC,33,17,18.8,24.4,30.9,51.8,33.9,2018
Manhattan,MAAC,31,14,21.5,31,37.6,46.8,40,2018
Marist,MAAC,31,6,14.8,22.6,35.8,53,34.9,2018
Monmouth,MAAC,31,11,18.3,26.6,44.1,49.3,38.9,2018
Niagara,MAAC,33,19,15.5,30.9,38,49.2,35.8,2018
Quinnipiac,MAAC,33,12,16.3,27.8,37,49.8,33.9,2018
Rider,MAAC,32,22,20.5,33.5,42.1,52,35.8,2018
Saint Peter's,MAAC,32,14,21.3,27.1,27.3,48.1,33.7,2018
Siena,MAAC,32,8,15.6,31.4,36.4,44.7,36.7,2018
Canisius,MAAC,32,15,20.5,27,31.4,52,32.4,2019
Fairfield,MAAC,31,9,21.4,26.1,23.9,49.5,35,2019
Manhattan,MAAC,32,11,23.5,30.6,33.3,45.6,33.2,2019
Marist,MAAC,31,12,19.3,24.3,32.2,50.8,36.3,2019
Monmouth,MAAC,35,14,21.2,29.3,40.3,46.4,29.7,2019
Niagara,MAAC,32,13,16.2,27.1,33.3,46.1,35.9,2019
Quinnipiac,MAAC,31,16,15.7,29.8,37.3,48.5,37.7,2019
Rider,MAAC,31,16,22.8,30.8,39.9,50.4,34,2019
Saint Peter's,MAAC,32,10,18.7,29.9,34.8,48.8,32.5,2019
Siena,MAAC,33,17,18,23.6,24.7,52.1,33.9,2019
Akron,MAC,34,20,18.8,33.3,31.3,46.7,34.9,2015
Ball St.,MAC,29,6,18.2,29.9,35.4,47.7,33.6,2015
Bowling Green,MAC,32,21,19.5,31.6,32.4,48.6,33.8,2015
Central Michigan,MAC,29,20,19.7,28.8,36.6,53.7,36.9,2015
Eastern Michigan,MAC,31,17,21.5,30.2,41.5,46.7,31.4,2015
Kent St.,MAC,34,22,18.2,33.6,37.1,46.7,36.6,2015
Miami OH,MAC,31,12,20.6,25.9,38.7,48.3,34.4,2015
Northern Illinois,MAC,29,13,21.4,36.4,47.1,47.2,32.2,2015
Ohio,MAC,30,10,15.4,25.9,28.9,49,34,2015
Toledo,MAC,33,20,16.2,33.3,41.2,51.2,36.6,2015
Western Michigan,MAC,32,18,18.9,29.8,42.7,49.9,35.9,2015
Akron,MAC,34,25,16.7,28.5,30.6,48,38.2,2016
Ball St.,MAC,34,20,16.5,28,34.8,49.9,36.9,2016
Bowling Green,MAC,32,14,17.1,28.1,40.2,47.2,35.4,2016
Central Michigan,MAC,30,14,15.9,26.5,30,50.8,35.2,2016
Eastern Michigan,MAC,29,14,20.9,31.1,43.5,49.5,31.5,2016
Kent St.,MAC,31,18,16.8,34.1,40,49,32.8,2016
Miami OH,MAC,32,12,20.8,27.9,36.1,44.8,30.8,2016
Northern Illinois,MAC,30,17,19.9,32.1,41.7,44.8,35.6,2016
Ohio,MAC,34,22,14.5,24.9,37.4,52.3,38.2,2016
Toledo,MAC,31,16,17.3,27.9,34.3,51.7,36.3,2016
Western Michigan,MAC,30,11,17.1,30.6,43.8,46.3,33.7,2016
Akron,MAC,35,27,16.7,29.4,37.3,55,36.8,2017
Ball St.,MAC,33,21,17.2,27.8,35.1,51.7,37.6,2017
Bowling Green,MAC,31,13,20,28.5,35.8,46.5,34.1,2017
Buffalo,MAC,30,17,17.5,33.2,37.3,51.4,33,2017
Central Michigan,MAC,30,16,15.2,26.7,34.6,48.5,36.4,2017
Eastern Michigan,MAC,29,16,21.5,33.6,35.3,48,33.6,2017
Miami OH,MAC,30,11,20.7,24.9,37,49.8,30.9,2017
Northern Illinois,MAC,29,15,20.5,33.5,40.3,46.6,30.6,2017
Ohio,MAC,30,20,18.1,25.6,33.7,50,38.5,2017
Toledo,MAC,33,17,14.2,29,38.3,54.6,36.1,2017
Western Michigan,MAC,31,16,18.3,31.1,35,48.2,38.3,2017
Akron,MAC,31,14,18.5,27,31.4,49.9,35.6,2018
Ball St.,MAC,31,19,16.7,28,33.2,51.7,33.9,2018
Bowling Green,MAC,30,16,16.8,29.7,36.6,45.1,34.3,2018
Central Michigan,MAC,33,21,17.9,31.1,33.7,50.5,34.4,2018
Eastern Michigan,MAC,31,22,20.1,30.4,29.2,52,33.6,2018
Kent St.,MAC,33,17,18,31.4,32.5,48.8,32.4,2018
Miami OH,MAC,32,16,18.1,27.1,27,50,33.5,2018
Northern Illinois,MAC,30,12,17.4,28.2,33.1,49.8,32.6,2018
Ohio,MAC,30,14,18.1,22.4,30.9,48.4,37.2,2018
Toledo,MAC,33,23,13.4,27.8,37.1,51.4,40.6,2018
Western Michigan,MAC,30,17,19.7,29.7,34.1,48,34.5,2018
Akron,MAC,31,17,19.1,25.1,27.7,48.8,31.7,2019
