TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
Seton Hall,BE,31,16,18,34.7,38.1,46,35,2015
Creighton,BE,35,20,17.5,27.3,37.5,54.5,35.2,2016
DePaul,BE,31,9,17.8,30.7,36.5,48.6,34.3,2016
Georgetown,BE,33,15,16.3,28.3,37.9,51.4,33.9,2016
Marquette,BE,33,20,19,28.1,40.5,52.4,33.9,2016
St. John's,BE,31,7,20.1,27.5,38,44.1,32,2016
DePaul,BE,32,9,20,29.9,35.6,47.7,32.6,2017
Georgetown,BE,32,14,17.3,29,42.6,51.8,34.9,2017
St. John's,BE,33,14,20.5,27.4,36.2,47.5,36.4,2017
DePaul,BE,31,11,20.2,32.9,29.4,48.5,31,2018
Georgetown,BE,30,15,17,31.3,38.3,50.1,36.6,2018
Marquette,BE,35,21,18.1,27.6,28.8,52.2,41.7,2018
St. John's,BE,32,16,22.2,23.6,30.4,48.8,33.3,2018
Butler,BE,33,16,18.9,25.7,25.2,51.4,35.3,2019
Creighton,BE,34,20,19.1,24.7,29,55.7,37.9,2019
DePaul,BE,36,19,17.7,32.7,36.1,53.3,34.3,2019
Georgetown,BE,33,19,16.3,29.1,38.2,49.6,35.6,2019
Providence,BE,34,18,20.2,31.8,39.1,47.5,32.6,2019
Xavier,BE,35,19,16.2,32.2,32.6,54.7,33.1,2019
Idaho,BSky,28,11,15.4,30.7,38.6,49.2,41,2015
Idaho St.,BSky,28,5,18.7,29.9,37,46.6,34.9,2015
Montana,BSky,31,18,19.9,27.6,33.3,52.9,36.6,2015
Montana St.,BSky,29,6,17,29.1,28.7,42.4,35.6,2015
North Dakota,BSky,28,6,18.1,24.7,38.5,47.8,33.1,2015
Northern Arizona,BSky,37,22,16.7,35.3,36.4,42.9,34.8,2015
Northern Colorado,BSky,28,13,20,33.6,35.1,51.4,37.5,2015
Portland St.,BSky,27,13,17.5,27.6,37.2,45.5,37.3,2015
Sacramento St.,BSky,31,19,19.6,27.2,35.5,50.9,40.8,2015
Southern Utah,BSky,28,9,15.7,22.6,38.7,48.4,39.7,2015
Weber St.,BSky,28,11,16.6,28.8,46,45,34.9,2015
Eastern Washington,BSky,32,16,15.9,26.7,35.9,55.4,38.4,2016
Idaho,BSky,32,19,18.9,34.4,44.6,46.1,36.3,2016
Idaho St.,BSky,29,14,17.4,24.7,38.5,48,35.7,2016
Montana,BSky,30,18,18.7,28.4,36.8,51.8,37.3,2016
Montana St.,BSky,30,13,16.9,33,30.7,47.2,37.2,2016
North Dakota,BSky,30,14,19.6,23.8,39.3,48.7,36.7,2016
Northern Arizona,BSky,28,3,17.5,22.3,36.1,42.3,33.4,2016
Northern Colorado,BSky,29,8,17.7,29.2,43.4,48.8,36.4,2016
Portland St.,BSky,29,11,19.1,28.7,33.9,52.7,31.5,2016
Sacramento St.,BSky,29,12,17.6,26.3,34.9,49.2,33.1,2016
Southern Utah,BSky,28,4,17.4,23.9,35.4,46.5,36.4,2016
Eastern Washington,BSky,32,22,14.5,27.3,34.8,53.7,36.8,2017
Idaho,BSky,31,19,17.7,30.3,39.9,47,36.4,2017
Idaho St.,BSky,30,6,18.2,22,38.1,48.2,35.6,2017
Montana,BSky,32,16,18.2,28,33,49.9,35.7,2017
Montana St.,BSky,30,16,18.4,27.2,36.3,47.7,37.2,2017
Northern Arizona,BSky,31,9,16.7,31.3,33.2,46.1,31.7,2017
Northern Colorado,BSky,27,11,18.2,27.4,34.4,50.6,34.3,2017
Portland St.,BSky,28,15,22.2,25.7,38.1,53.9,33.4,2017
Sacramento St.,BSky,29,13,15.8,27.4,37.3,51.1,31,2017
Southern Utah,BSky,31,6,16.7,29.4,40.3,43,36.3,2017
Weber St.,BSky,32,20,16.5,21.4,42.9,53,40.3,2017
Eastern Washington,BSky,33,20,16.9,21.6,28,52,37.9,2018
Idaho,BSky,29,22,16.1,31.1,30.4,50.3,41.1,2018
Idaho St.,BSky,28,14,16.7,19.8,34.5,52.4,39.4,2018
Montana St.,BSky,30,13,18.4,28.7,39,46.1,33.8,2018
North Dakota,BSky,30,12,19.7,19.8,35.5,51.4,35.1,2018
Northern Arizona,BSky,30,5,19,27,42.6,44.5,30.5,2018
Northern Colorado,BSky,35,26,17.3,25.6,33.7,54,35.5,2018
Portland St.,BSky,31,20,22,34.7,33.3,48.9,33.2,2018
Sacramento St.,BSky,30,7,17.5,24.1,27.8,47.7,34.6,2018
Southern Utah,BSky,30,13,16.6,22.6,35.9,48.2,36.1,2018
Weber St.,BSky,28,20,15.9,19.3,35.1,52.5,41,2018
Eastern Washington,BSky,33,16,16.6,24.6,27,48.9,34.8,2019
